Index, Heading, X, Y, East, North, Velocity
3, -89.4998, 204.357, 1802.01, 197.111, 750.203, 30.0987
3, -89.4967, 204.358, 1801.83, 197.116, 750.023, 30.2329
3, -89.4952, 204.359, 1801.74, 197.119, 749.931, 30.367
3, -89.4927, 204.36, 1801.58, 197.124, 749.769, 30.5009
3, -89.4895, 204.361, 1801.33, 197.132, 749.526, 30.6349
3, -89.4877, 204.363, 1801.17, 197.137, 749.361, 30.7688
3, -89.486, 204.364, 1800.99, 197.142, 749.18, 30.9026
3, -89.4853, 204.365, 1800.9, 197.145, 749.09, 31.0364
3, -89.4844, 204.366, 1800.75, 197.15, 748.939, 31.17
3, -89.4832, 204.368, 1800.47, 197.158, 748.668, 31.3034
3, -89.4828, 204.369, 1800.29, 197.164, 748.483, 31.4367
3, -89.4827, 204.37, 1800.12, 197.169, 748.318, 31.5697
3, -89.4828, 204.371, 1800.03, 197.172, 748.221, 31.7025
3, -89.483, 204.372, 1799.87, 197.177, 748.067, 31.8352
3, -89.4845, 204.374, 1799.55, 197.186, 747.745, 32.1003
3, -89.4856, 204.376, 1799.38, 197.192, 747.576, 32.1003
3, -89.4863, 204.376, 1799.3, 197.194, 747.492, 32.2327
3, -89.488, 204.378, 1799.08, 197.201, 747.27, 32.3651
3, -89.4889, 204.379, 1798.96, 197.205, 747.155, 32.4973
3, -89.4909, 204.381, 1798.71, 197.213, 746.9, 32.6295
3, -89.4926, 204.382, 1798.52, 197.218, 746.71, 32.7616
3, -89.4938, 204.383, 1798.39, 197.222, 746.587, 32.8937
3, -89.4955, 204.384, 1798.23, 197.227, 746.424, 33.0258
3, -89.4972, 204.385, 1798.07, 197.232, 746.268, 33.158
3, -89.5014, 204.388, 1797.74, 197.242, 745.935, 33.2901
3, -89.5037, 204.389, 1797.57, 197.247, 745.769, 33.4223
3, -89.5066, 204.39, 1797.37, 197.254, 745.566, 33.5543
3, -89.5083, 204.391, 1797.26, 197.257, 745.452, 33.6862
3, -89.5105, 204.392, 1797.11, 197.262, 745.303, 33.8179
3, -89.5124, 204.393, 1796.98, 197.266, 745.175, 33.9496
3, -89.5177, 204.395, 1796.63, 197.276, 744.829, 34.0811
3, -89.5197, 204.396, 1796.51, 197.28, 744.703, 34.2125
3, -89.5232, 204.398, 1796.29, 197.287, 744.484, 34.3438
3, -89.5248, 204.399, 1796.18, 197.29, 744.373, 34.475
3, -89.5286, 204.401, 1795.88, 197.299, 744.073, 34.6063
3, -89.5308, 204.402, 1795.69, 197.305, 743.886, 34.7374
3, -89.5331, 204.403, 1795.5, 197.311, 743.697, 34.8685
3, -89.5347, 204.404, 1795.38, 197.314, 743.573, 34.9996
3, -89.5373, 204.406, 1795.16, 197.321, 743.357, 35.1308
3, -89.5404, 204.407, 1794.88, 197.329, 743.075, 35.262
3, -89.5421, 204.408, 1794.72, 197.334, 742.92, 35.3931
3, -89.5447, 204.41, 1794.49, 197.341, 742.683, 35.5242
3, -89.5465, 204.411, 1794.32, 197.346, 742.519, 35.6551
3, -89.548, 204.412, 1794.19, 197.35, 742.389, 35.786
3, -89.5513, 204.414, 1793.91, 197.358, 742.11, 35.9165
3, -89.5536, 204.415, 1793.73, 197.364, 741.931, 36.0566
3, -89.5556, 204.416, 1793.57, 197.369, 741.768, 36.2117
3, -89.5575, 204.417, 1793.41, 197.374, 741.604, 36.3813
3, -89.5591, 204.418, 1793.24, 197.379, 741.436, 36.5631
3, -89.561, 204.42, 1792.87, 197.389, 741.07, 36.9467
3, -89.5609, 204.421, 1792.68, 197.395, 740.88, 36.9467
3, -89.5605, 204.422, 1792.57, 197.398, 740.766, 37.1409
3, -89.5593, 204.423, 1792.33, 197.405, 740.524, 37.3331
3, -89.5583, 204.424, 1792.16, 197.41, 740.361, 37.5199
3, -89.5574, 204.425, 1792.01, 197.415, 740.211, 37.7002
3, -89.5555, 204.427, 1791.66, 197.425, 739.86, 37.8734
3, -89.5549, 204.428, 1791.51, 197.429, 739.71, 38.0402
3, -89.5545, 204.429, 1791.27, 197.436, 739.47, 38.2023
3, -89.5544, 204.43, 1791.12, 197.441, 739.318, 38.3612
3, -89.5542, 204.432, 1790.81, 197.45, 739.011, 38.5181
3, -89.5541, 204.434, 1790.58, 197.457, 738.776, 38.6742
3, -89.5542, 204.435, 1790.4, 197.462, 738.597, 38.8306
3, -89.5543, 204.436, 1790.27, 197.466, 738.465, 38.9877
3, -89.5544, 204.437, 1790.08, 197.472, 738.278, 39.1454
3, -89.5544, 204.438, 1789.84, 197.479, 738.038, 39.3035
3, -89.5544, 204.44, 1789.55, 197.488, 737.747, 39.4616
3, -89.5544, 204.441, 1789.35, 197.493, 737.546, 39.6194
3, -89.5544, 204.443, 1789.15, 197.5, 737.344, 39.7761
3, -89.5545, 204.444, 1788.93, 197.506, 737.125, 39.9316
3, -89.5547, 204.445, 1788.72, 197.512, 736.917, 40.0857
3, -89.5548, 204.447, 1788.42, 197.521, 736.615, 40.2382
3, -89.5547, 204.448, 1788.23, 197.527, 736.429, 40.3893
3, -89.5546, 204.45, 1787.99, 197.534, 736.187, 40.539
3, -89.5545, 204.451, 1787.8, 197.54, 736.004, 40.6877
3, -89.5546, 204.453, 1787.49, 197.549, 735.687, 40.8354
3, -89.5549, 204.455, 1787.27, 197.556, 735.468, 40.9821
3, -89.5554, 204.456, 1787.07, 197.562, 735.272, 41.1278
3, -89.5558, 204.457, 1786.91, 197.566, 735.115, 41.2728
3, -89.5567, 204.459, 1786.65, 197.574, 734.848, 41.4169
3, -89.5578, 204.46, 1786.42, 197.581, 734.623, 41.5603
3, -89.5597, 204.462, 1786.08, 197.591, 734.284, 41.8446
3, -89.5607, 204.464, 1785.87, 197.598, 734.068, 41.8446
3, -89.5614, 204.465, 1785.71, 197.602, 733.914, 41.9855
3, -89.5622, 204.466, 1785.51, 197.609, 733.707, 42.1255
3, -89.563, 204.467, 1785.3, 197.615, 733.502, 42.2646
3, -89.5638, 204.47, 1784.97, 197.625, 733.167, 42.4028
3, -89.5645, 204.471, 1784.69, 197.633, 732.896, 42.5403
3, -89.5649, 204.472, 1784.51, 197.638, 732.713, 42.677
3, -89.5656, 204.474, 1784.32, 197.644, 732.52, 42.8131
3, -89.5663, 204.475, 1784.14, 197.65, 732.339, 42.9485
3, -89.5677, 204.477, 1783.78, 197.66, 731.984, 43.0832
3, -89.5692, 204.479, 1783.49, 197.669, 731.688, 43.2171
3, -89.57, 204.48, 1783.31, 197.675, 731.516, 43.3503
3, -89.5708, 204.481, 1783.19, 197.678, 731.388, 43.4828
3, -89.5723, 204.483, 1782.97, 197.685, 731.169, 43.6126
3, -89.574, 204.484, 1782.74, 197.692, 730.944, 43.7242
3, -89.577, 204.486, 1782.42, 197.701, 730.626, 43.8144
3, -89.5806, 204.488, 1782.12, 197.711, 730.322, 43.8889
3, -89.584, 204.49, 1781.89, 197.717, 730.094, 43.9547
3, -89.5872, 204.491, 1781.71, 197.723, 729.908, 44.0185
3, -89.5954, 204.494, 1781.27, 197.736, 729.478, 44.1619
3, -89.6026, 204.497, 1780.89, 197.748, 729.09, 44.2417
3, -89.6057, 204.498, 1780.71, 197.753, 728.914, 44.3252
3, -89.61, 204.499, 1780.46, 197.761, 728.664, 44.4129
3, -89.6153, 204.502, 1780.12, 197.771, 728.321, 44.5036
3, -89.6184, 204.503, 1779.9, 197.778, 728.099, 44.5957
3, -89.6216, 204.504, 1779.67, 197.784, 727.87, 44.688
3, -89.6251, 204.506, 1779.41, 197.792, 727.612, 44.78
3, -89.6271, 204.507, 1779.26, 197.797, 727.46, 44.8713
3, -89.6325, 204.509, 1778.85, 197.809, 727.052, 44.9621
3, -89.6352, 204.511, 1778.63, 197.815, 726.831, 45.0527
3, -89.6382, 204.512, 1778.39, 197.822, 726.591, 45.1432
3, -89.6405, 204.513, 1778.2, 197.828, 726.402, 45.2344
3, -89.6431, 204.514, 1777.98, 197.834, 726.188, 45.3262
3, -89.6474, 204.517, 1777.58, 197.846, 725.785, 45.4187
3, -89.6489, 204.518, 1777.38, 197.852, 725.58, 45.5119
